mac,begin_time,end_time,hbase_time_consume,hbase_trace_length,postgre_time_consume,postgre_trace_length
2002AF13B070,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,4,0,0,0
2002AF13B070,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,3,0,1,0
2002AF13B070,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,3,12,1,12
2002AF13B070,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,4,14,1,14
2002AF13B070,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,3,14,1,14
2002AF13B070,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,3,14,1,14
2002AF13B070,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,3,14,1,14
2002AF13B070,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,3,14,2,14
2002AF13B070,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,3,14,0,14
2002AF13B070,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,3,14,1,14
2002AF13B070,2014-04-01 08:00:00.0,2014-04-01 22:00:00.0,3,14,1,14
54E43A616296,2014-04-01 08:00:00.0,2014-04-01 09:00:00.0,3,0,1,0
54E43A616296,2014-04-01 08:00:00.0,2014-04-01 10:00:00.0,3,0,1,0
54E43A616296,2014-04-01 08:00:00.0,2014-04-01 11:00:00.0,3,0,1,0
54E43A616296,2014-04-01 08:00:00.0,2014-04-01 12:00:00.0,6,0,1,0
54E43A616296,2014-04-01 08:00:00.0,2014-04-01 13:00:00.0,3,4,0,4
54E43A616296,2014-04-01 08:00:00.0,2014-04-01 14:00:00.0,4,4,1,4
54E43A616296,2014-04-01 08:00:00.0,2014-04-01 15:00:00.0,4,4,0,4
54E43A616296,2014-04-01 08:00:00.0,2014-04-01 16:00:00.0,4,4,0,4
54E43A616296,2014-04-01 08:00:00.0,2014-04-01 17:00:00.0,3,4,1,4
54E43A616296,2014-04-01 08:00:00.0,2014-04-01 18:00:00.0,3,4,1,4
54E43A616296,2014-04-01 08:00:00.0,2014-04-01 19:00:00.0,5,4,1,4
54E43A616296,2014-04-01 08:00:00.0,2014-04-01 20:00:00.0,4,4,1,4
54E43A616296,2014-04-01 08:00:00.0,2014-04-01 21:00:00.0,3,4,1,4
54E43A616296,2014-04-01 08:00:00.0,2014-04-01 22:00:00.0,3,4,0,4
D46E5C70656E,2014-04-01 08:00:00.0,2014-04-01 09:00:00.0,5,11,1,11
D46E5C70656E,2014-04-01 08:00:00.0,2014-04-01 10:00:00.0,3,11,1,11
D46E5C70656E,2014-04-01 08:00:00.0,2014-04-01 11:00:00.0,3,12,1,12
